id,company_id,esb_id,product_esb_id,code,name,output_qty,flag_active,bom_type_id,bom_type_name,product_name,uom_name,raw_data,synced_at,updated_at
245,1,174,,SIDE-00012,Pisang Goreng,1.00,true,3,Menu,,,"{""bomID"":174,""notes"":"""",""bomCode"":""SIDE-00012"",""bomName"":""Pisang Goreng"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
246,1,117,,SIDE-00013-NEW,PISANG GORENG COKLAT,1.00,true,3,Menu,,,"{""bomID"":117,""notes"":"""",""bomCode"":""SIDE-00013-NEW"",""bomName"":""PISANG GORENG COKLAT"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
247,1,100,,SIDE-00015-NEW,PISANG GORENG COKLAT KEJU,1.00,true,3,Menu,,,"{""bomID"":100,""notes"":"""",""bomCode"":""SIDE-00015-NEW"",""bomName"":""PISANG GORENG COKLAT KEJU"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
248,1,335,,SDISH-023-NEW,PISANG GORENG ICE CREAM,1.00,true,3,Menu,,,"{""bomID"":335,""notes"":"""",""bomCode"":""SDISH-023-NEW"",""bomName"":""PISANG GORENG ICE CREAM"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
249,1,139,,SIDE-00014,PISANG GORENG KEJU,1.00,true,3,Menu,,,"{""bomID"":139,""notes"":"""",""bomCode"":""SIDE-00014"",""bomName"":""PISANG GORENG KEJU"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
250,1,323,,SDISH-008-NEW,PISANG GORENG ORIGINAL,1.00,true,3,Menu,,,"{""bomID"":323,""notes"":"""",""bomCode"":""SDISH-008-NEW"",""bomName"":""PISANG GORENG ORIGINAL"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
251,1,340,,SDISH-0921-NEW,PISCOK ROLL,1.00,true,3,Menu,,,"{""bomID"":340,""notes"":"""",""bomCode"":""SDISH-0921-NEW"",""bomName"":""PISCOK ROLL"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
252,1,132,,MILK-00007,Pistachio Cheese,1.00,true,3,Menu,,,"{""bomID"":132,""notes"":"""",""bomCode"":""MILK-00007"",""bomName"":""Pistachio Cheese"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
253,1,71,,PREM-00003,PREMIUM CAN - COTR (200ml),1.00,true,1,Assembly,PREMIUM CAN - COTR (200ml),PORSI@200GR,"{""bomID"":71,""notes"":"""",""bomCode"":""PREM-00003"",""bomName"":""PREMIUM CAN - COTR (200ml)"",""uomName"":""PORSI@200GR"",""bomTypeID"":1,""flagActive"":1,""bomTypeName"":""Assembly"",""productName"":""PREMIUM CAN - COTR (200ml)""}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
254,1,294,,PREM-00032,Premium Gula Jawa,1.00,true,3,Menu,,,"{""bomID"":294,""notes"":"""",""bomCode"":""PREM-00032"",""bomName"":""Premium Gula Jawa"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
