id,company_id,esb_id,name,product_code,bom_name,category_name,sub_category_name,category_type_name,flag_active,normalized_name,raw_data,synced_at,updated_at
436,1,1391,SPAGHETTI CARBONARA,RMKC-00035,,RAW MATERIAL FOOD,KITCHEN,Inventory,true,,"{""bomName"":null,""productID"":1391,""flagActive"":true,""productCode"":""RMKC-00035"",""productName"":""SPAGHETTI CARBONARA"",""categoryName"":""RAW MATERIAL FOOD"",""subCategoryName"":""KITCHEN"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
437,1,1392,SPORK HITAM,KSUK-00006,,KITCHENWARE & SUPPLIES,UTILITIES KITCHEN,Non Inventory,false,,"{""bomName"":null,""productID"":1392,""flagActive"":false,""productCode"":""KSUK-00006"",""productName"":""SPORK HITAM"",""categoryName"":""KITCHENWARE & SUPPLIES"",""subCategoryName"":""UTILITIES KITCHEN"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
438,1,1172,- Aromatic Milk Tea - Can 330 (Event/Bulk),BULK-00001,Aromatic Milk Tea - Can 330 (Event/Bulk),Finished Good,Event/Bulk,Inventory,true,,"{""bomName"":""Aromatic Milk Tea - Can 330 (Event/Bulk)"",""productID"":1172,""flagActive"":true,""productCode"":""BULK-00001"",""productName"":""- Aromatic Milk Tea - Can 330 (Event/Bulk)"",""categoryName"":""Finished Good"",""subCategoryName"":""Event/Bulk"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
439,1,1173,- Aromatic Milk Tea - Cup Hot 110ml (Event/Bulk),BULK-00002,Aromatic Milk Tea - Cup Hot 110ml (Event/Bulk),Finished Good,Event/Bulk,Inventory,true,,"{""bomName"":""Aromatic Milk Tea - Cup Hot 110ml (Event/Bulk)"",""productID"":1173,""flagActive"":true,""productCode"":""BULK-00002"",""productName"":""- Aromatic Milk Tea - Cup Hot 110ml (Event/Bulk)"",""categoryName"":""Finished Good"",""subCategoryName"":""Event/Bulk"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
440,1,1542,- Aromatic Milktea - Can 250ml (Event/Bulk),BULK-00054,Aromatic Milktea - Can 250ml (Event/Bulk),Finished Good,Event/Bulk,Inventory,true,,"{""bomName"":""Aromatic Milktea - Can 250ml (Event/Bulk)"",""productID"":1542,""flagActive"":true,""productCode"":""BULK-00054"",""productName"":""- Aromatic Milktea - Can 250ml (Event/Bulk)"",""categoryName"":""Finished Good"",""subCategoryName"":""Event/Bulk"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
441,1,1617,- Aromatic Milktea - Cup Es 170ml (Bulk/Event),BULK-00066,Aromatic Milktea - Cup Es 170ml (Bulk/Event),Finished Good,Event/Bulk,Inventory,true,,"{""bomName"":""Aromatic Milktea - Cup Es 170ml (Bulk/Event)"",""productID"":1617,""flagActive"":true,""productCode"":""BULK-00066"",""productName"":""- Aromatic Milktea - Cup Es 170ml (Bulk/Event)"",""categoryName"":""Finished Good"",""subCategoryName"":""Event/Bulk"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
442,1,1191,- Brewmalt - Can 330ml (Event/Bulk),BULK-00003,Brewmalt - Can 330ml (Event/Bulk),Finished Good,Event/Bulk,Inventory,true,,"{""bomName"":""Brewmalt - Can 330ml (Event/Bulk)"",""productID"":1191,""flagActive"":true,""productCode"":""BULK-00003"",""productName"":""- Brewmalt - Can 330ml (Event/Bulk)"",""categoryName"":""Finished Good"",""subCategoryName"":""Event/Bulk"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
443,1,1582,SPORK HITAM (NEW),INSU-00028,,KITCHEN & SUPPLIES (NEW),ADDITIONAL PACKAGING,Inventory,true,,"{""bomName"":null,""productID"":1582,""flagActive"":true,""productCode"":""INSU-00028"",""productName"":""SPORK HITAM (NEW)"",""categoryName"":""KITCHEN & SUPPLIES (NEW)"",""subCategoryName"":""ADDITIONAL PACKAGING"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
444,1,1487,Stall,,,Other Income,-,Non Inventory,true,,"{""bomName"":null,""productID"":1487,""flagActive"":true,""productCode"":"""",""productName"":""Stall"",""categoryName"":""Other Income"",""subCategoryName"":""-"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
445,1,1707,STAMPEL CALF,CKDM-00004,,General,UTENSIL,Non Inventory,true,,"{""bomName"":null,""productID"":1707,""flagActive"":true,""productCode"":""CKDM-00004"",""productName"":""STAMPEL CALF"",""categoryName"":""General"",""subCategoryName"":""UTENSIL"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
446,1,1393,STICKER BIRU CALF (ROUND),KSPS-00003,,KITCHENWARE & SUPPLIES,PRINTING & STICKER,Non Inventory,false,,"{""bomName"":null,""productID"":1393,""flagActive"":false,""productCode"":""KSPS-00003"",""productName"":""STICKER BIRU CALF (ROUND)"",""categoryName"":""KITCHENWARE & SUPPLIES"",""subCategoryName"":""PRINTING & STICKER"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
447,1,1555,STICKER BIRU CALF ROUND (NEW),INSU-0003,,KITCHEN & SUPPLIES (NEW),ADDITIONAL PACKAGING,Inventory,true,,"{""bomName"":null,""productID"":1555,""flagActive"":true,""productCode"":""INSU-0003"",""productName"":""STICKER BIRU CALF ROUND (NEW)"",""categoryName"":""KITCHEN & SUPPLIES (NEW)"",""subCategoryName"":""ADDITIONAL PACKAGING"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
448,1,1394,STICKER CUSTOM 250ML,KSPS-00011,,KITCHENWARE & SUPPLIES,PRINTING & STICKER,Non Inventory,false,,"{""bomName"":null,""productID"":1394,""flagActive"":false,""productCode"":""KSPS-00011"",""productName"":""STICKER CUSTOM 250ML"",""categoryName"":""KITCHENWARE & SUPPLIES"",""subCategoryName"":""PRINTING & STICKER"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
449,1,1558,STICKER CUSTOM 250ML (NEW),INSU_00005,,KITCHEN & SUPPLIES (NEW),ADDITIONAL PACKAGING,Inventory,true,,"{""bomName"":null,""productID"":1558,""flagActive"":true,""productCode"":""INSU_00005"",""productName"":""STICKER CUSTOM 250ML (NEW)"",""categoryName"":""KITCHEN & SUPPLIES (NEW)"",""subCategoryName"":""ADDITIONAL PACKAGING"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
450,1,1395,STICKER CUSTOM 330ML,KSPS-00010,,KITCHENWARE & SUPPLIES,PRINTING & STICKER,Non Inventory,false,,"{""bomName"":null,""productID"":1395,""flagActive"":false,""productCode"":""KSPS-00010"",""productName"":""STICKER CUSTOM 330ML"",""categoryName"":""KITCHENWARE & SUPPLIES"",""subCategoryName"":""PRINTING & STICKER"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
451,1,1557,STICKER CUSTOM 330ML (NEW),INSU-00004,,KITCHEN & SUPPLIES (NEW),ADDITIONAL PACKAGING,Inventory,true,,"{""bomName"":null,""productID"":1557,""flagActive"":true,""productCode"":""INSU-00004"",""productName"":""STICKER CUSTOM 330ML (NEW)"",""categoryName"":""KITCHEN & SUPPLIES (NEW)"",""subCategoryName"":""ADDITIONAL PACKAGING"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
452,1,1396,STICKER GREETING CARD - ICE,KSPS-00004,,KITCHENWARE & SUPPLIES,PRINTING & STICKER,Non Inventory,false,,"{""bomName"":null,""productID"":1396,""flagActive"":false,""productCode"":""KSPS-00004"",""productName"":""STICKER GREETING CARD - ICE"",""categoryName"":""KITCHENWARE & SUPPLIES"",""subCategoryName"":""PRINTING & STICKER"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
453,1,1556,STICKER GREETING CARD ICE (NEW),INSU-00003,,KITCHEN & SUPPLIES (NEW),ADDITIONAL PACKAGING,Inventory,true,,"{""bomName"":null,""productID"":1556,""flagActive"":true,""productCode"":""INSU-00003"",""productName"":""STICKER GREETING CARD ICE (NEW)"",""categoryName"":""KITCHEN & SUPPLIES (NEW)"",""subCategoryName"":""ADDITIONAL PACKAGING"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
454,1,1397,STICKER SEVENTEEN,KSPS-00009,,KITCHENWARE & SUPPLIES,PRINTING & STICKER,Non Inventory,false,,"{""bomName"":null,""productID"":1397,""flagActive"":false,""productCode"":""KSPS-00009"",""productName"":""STICKER SEVENTEEN"",""categoryName"":""KITCHENWARE & SUPPLIES"",""subCategoryName"":""PRINTING & STICKER"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
