id,company_id,esb_id,code,name,flag_active,raw_data,synced_at,updated_at
55,4,186,Unit,BTL@250GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
56,4,340,Unit,BTL@2540GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
57,4,187,Unit,BTL@300GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
58,4,324,Unit,BTL@320GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
59,4,188,Unit,BTL@550GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
60,4,316,Unit,BTL@600GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
61,4,307,Unit,BTL@620GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
62,4,189,Unit,BTL@775GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
63,4,190,Unit,BTL@850GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
64,4,191,Unit,BTL@930GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
65,4,192,Unit,BTL@960GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
66,4,193,Unit,CTN,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
67,4,194,Unit,CTN@104PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
68,4,195,Unit,CTN@10BOX,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
69,4,302,Unit,CTN@10BTL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
70,4,196,Unit,CTN@10PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
71,4,197,Unit,CTN@10PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
72,4,344,Unit,CTN@10POUCH,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
73,4,198,Unit,CTN@12BTL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
74,4,199,Unit,CTN@12PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
75,4,200,Unit,CTN@12PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
76,4,201,Unit,CTN@12ROLL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
77,4,202,Unit,CTN@14PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
78,4,203,Unit,CTN@15PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
79,4,204,Unit,CTN@16BTL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
80,4,205,Unit,CTN@16PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
81,4,328,Unit,CTN@16ROLL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
82,4,206,Unit,CTN@20BALL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
83,4,303,Unit,CTN@20BTL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
84,4,207,Unit,CTN@20PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
85,4,208,Unit,CTN@20PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
86,4,209,Unit,CTN@21PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
87,4,210,Unit,CTN@24BTL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
88,4,211,Unit,CTN@24PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
89,4,212,Unit,CTN@24PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
90,4,213,Unit,CTN@24ROLL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
91,4,338,Unit,CTN@25PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
92,4,214,Unit,CTN@2PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
93,4,215,Unit,CTN@3BTL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
94,4,321,Unit,CTN@40BALL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
95,4,216,Unit,CTN@40PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
96,4,217,Unit,CTN@40PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
97,4,218,Unit,CTN@48PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
98,4,341,Unit,CTN@4BTL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
99,4,219,Unit,CTN@4PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
100,4,220,Unit,CTN@500PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
101,4,311,Unit,CTN@50PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
102,4,221,Unit,CTN@60PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
103,4,222,Unit,CTN@6BTL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
104,4,223,Unit,CTN@6JAR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
105,4,224,Unit,CTN@6PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
106,4,225,Unit,CTN@6PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
107,4,226,Unit,CTN@6ROLL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
108,4,227,Unit,CTN@78PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
